Epoch: 1 | Training loss: 0.609783597700336 | Validation Loss: 0.6208313916876016
Epoch: 2 | Training loss: 0.607124497728988 | Validation Loss: 0.6182458247236216
Epoch: 3 | Training loss: 0.6036571270681543 | Validation Loss: 0.6144273323846645
Epoch: 4 | Training loss: 0.5989266604969108 | Validation Loss: 0.6088251796413641
Epoch: 5 | Training loss: 0.5926541059007814 | Validation Loss: 0.602806891777802
Epoch: 6 | Training loss: 0.5862039037234635 | Validation Loss: 0.5968918804425359
Epoch: 7 | Training loss: 0.5799697104435468 | Validation Loss: 0.5909429528836996
Epoch: 8 | Training loss: 0.5737079007479164 | Validation Loss: 0.5848472219754438
Epoch: 9 | Training loss: 0.5674287203812624 | Validation Loss: 0.5790478156808295
Epoch: 10 | Training loss: 0.5612916606464075 | Validation Loss: 0.573321088822813
Epoch: 11 | Training loss: 0.5551101287141529 | Validation Loss: 0.5677445856192724
Epoch: 12 | Training loss: 0.5491924842073114 | Validation Loss: 0.5622880602957773
Epoch: 13 | Training loss: 0.5435343068086698 | Validation Loss: 0.5570099745454684
Epoch: 14 | Training loss: 0.5382117884285139 | Validation Loss: 0.5525208865928519
Epoch: 15 | Training loss: 0.5337279354488438 | Validation Loss: 0.5489850367516116
Epoch: 16 | Training loss: 0.5296921962315326 | Validation Loss: 0.545273238884621
Epoch: 17 | Training loss: 0.5259150671427429 | Validation Loss: 0.5418547829562198
Epoch: 18 | Training loss: 0.522661235648025 | Validation Loss: 0.5393953138117582
Epoch: 19 | Training loss: 0.5198901157926731 | Validation Loss: 0.5373167342053411
Epoch: 20 | Training loss: 0.517509241717278 | Validation Loss: 0.5358287318523138
