Epoch: 1 | Training loss: 1.1695260731258366 | Validation Loss: 1.1841601190345534
Epoch: 2 | Training loss: 1.1504397664332415 | Validation Loss: 1.1665543079213367
Epoch: 3 | Training loss: 1.132085400593741 | Validation Loss: 1.1497390148092488
Epoch: 4 | Training loss: 1.114523742227046 | Validation Loss: 1.1336178274753967
Epoch: 5 | Training loss: 1.0976576300705094 | Validation Loss: 1.1181365715675666
Epoch: 6 | Training loss: 1.081470644755049 | Validation Loss: 1.1033135592286052
Epoch: 7 | Training loss: 1.0659737261053561 | Validation Loss: 1.0891218247309409
Epoch: 8 | Training loss: 1.0510903079231975 | Validation Loss: 1.0755365137519732
Epoch: 9 | Training loss: 1.0367730544173028 | Validation Loss: 1.062525485138424
Epoch: 10 | Training loss: 1.0230112546309702 | Validation Loss: 1.049990880359066
Epoch: 11 | Training loss: 1.009638306179835 | Validation Loss: 1.0380358083652017
Epoch: 12 | Training loss: 0.9969922792170289 | Validation Loss: 1.0267574029053494
Epoch: 13 | Training loss: 0.9849015680349521 | Validation Loss: 1.0159519326165725
Epoch: 14 | Training loss: 0.9732439218882534 | Validation Loss: 1.005626166453127
Epoch: 15 | Training loss: 0.9621462995612178 | Validation Loss: 0.9958042170180649
Epoch: 16 | Training loss: 0.9515339379724806 | Validation Loss: 0.9864153989025803
Epoch: 17 | Training loss: 0.9413757551783459 | Validation Loss: 0.9774625860765332
Epoch: 18 | Training loss: 0.9316460293869456 | Validation Loss: 0.968947308718181
Epoch: 19 | Training loss: 0.9223900661661554 | Validation Loss: 0.9608379373622071
Epoch: 20 | Training loss: 0.9135474368069495 | Validation Loss: 0.9531105489678722
Epoch: 21 | Training loss: 0.905074976020638 | Validation Loss: 0.9457691786556296
Epoch: 22 | Training loss: 0.8970043405223552 | Validation Loss: 0.938831049562152
Epoch: 23 | Training loss: 0.8892951414248704 | Validation Loss: 0.9322547477776887
Epoch: 24 | Training loss: 0.8819217838481868 | Validation Loss: 0.9260247611120099
Epoch: 25 | Training loss: 0.8748745958950481 | Validation Loss: 0.9201153922683555
Epoch: 26 | Training loss: 0.8681313668119651 | Validation Loss: 0.9144917269303499
Epoch: 27 | Training loss: 0.8616417045321609 | Validation Loss: 0.9091720305831055
Epoch: 28 | Training loss: 0.8554736535409468 | Validation Loss: 0.9041429276023406
Epoch: 29 | Training loss: 0.8495757130528621 | Validation Loss: 0.8993670248268731
Epoch: 30 | Training loss: 0.8439243361735694 | Validation Loss: 0.8948106828445945
